frame.time,frame.len,frame.protocols,eth.src,eth.dst,ip.src,ip.dst,ip.flags,ip.ttl,ip.proto,ip.checksum,ip.tos,tcp.srcport,tcp.dstport,tcp.flags,tcp.window_size_value,tcp.window_size_scalefactor,tcp.checksum,tcp.options,tcp.pdu.size,udp.srcport,udp.dstport,label
"Jan 15, 2025 00:10:22.447710000 India Standard Time",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xb19d,,,,,,,,,,48322.0,53.0,0
"Jan 15, 2025 00:10:22.453402000 India Standard Time",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x49d9,,,,,,,,,,53.0,48322.0,0
"Jan 15, 2025 00:10:22.453507000 India Standard Time",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.3,0x02,64.0,17.0,0xa71f,,,,,,,,,,46343.0,123.0,0
"Jan 15, 2025 00:10:22.458119000 India Standard Time",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.3,192.168.18.17,0x02,61.0,17.0,0xab96,,,,,,,,,,123.0,46343.0,0
"Jan 15, 2025 00:10:22.560013000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x2e8d,,,,,,,,,,36848.0,53.0,0
"Jan 15, 2025 00:10:22.560037000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x2e8c,,,,,,,,,,36848.0,53.0,0
"Jan 15, 2025 00:10:22.566259000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x4981,,,,,,,,,,53.0,36848.0,0
"Jan 15, 2025 00:10:22.566278000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x4990,,,,,,,,,,53.0,36848.0,0
"Jan 15, 2025 00:10:22.571828000 India Standard Time",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x4ce8,,,,,,,,,,46285.0,53.0,0
"Jan 15, 2025 00:10:22.578165000 India Standard Time",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x4962,,,,,,,,,,53.0,46285.0,0
"Jan 15, 2025 00:11:21.378196000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x20c0,,,,,,,,,,37206.0,53.0,0
"Jan 15, 2025 00:11:21.378226000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x20bf,,,,,,,,,,37206.0,53.0,0
"Jan 15, 2025 00:11:21.384555000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x2a0a,,,,,,,,,,53.0,37206.0,0
"Jan 15, 2025 00:11:21.385830000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x2a19,,,,,,,,,,53.0,37206.0,0
"Jan 15, 2025 00:11:21.391612000 India Standard Time",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x43f9,,,,,,,,,,51250.0,53.0,0
"Jan 15, 2025 00:11:21.402140000 India Standard Time",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x29e4,,,,,,,,,,53.0,51250.0,0
"Jan 15, 2025 00:11:22.463821000 India Standard Time",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xb2ec,,,,,,,,,,53236.0,53.0,0
"Jan 15, 2025 00:11:22.472650000 India Standard Time",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x2846,,,,,,,,,,53.0,53236.0,0
"Jan 15, 2025 00:11:22.472759000 India Standard Time",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.3,0x02,64.0,17.0,0xe667,,,,,,,,,,43956.0,123.0,0
"Jan 15, 2025 00:11:22.478285000 India Standard Time",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.3,192.168.18.17,0x02,61.0,17.0,0x2941,,,,,,,,,,123.0,43956.0,0
"Jan 15, 2025 00:12:20.343774000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x0174,,,,,,,,,,49761.0,53.0,0
"Jan 15, 2025 00:12:20.343807000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x0173,,,,,,,,,,49761.0,53.0,0
"Jan 15, 2025 00:12:20.352120000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0xa6f1,,,,,,,,,,53.0,49761.0,0
"Jan 15, 2025 00:12:20.352144000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0xa700,,,,,,,,,,53.0,49761.0,0
"Jan 15, 2025 00:12:20.358892000 India Standard Time",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x375e,,,,,,,,,,49966.0,53.0,0
"Jan 15, 2025 00:12:20.363655000 India Standard Time",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0xa6d5,,,,,,,,,,53.0,49966.0,0
"Jan 15, 2025 00:12:22.483705000 India Standard Time",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x0836,,,,,,,,,,55743.0,53.0,0
"Jan 15, 2025 00:12:22.491353000 India Standard Time",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x9fb9,,,,,,,,,,53.0,55743.0,0
"Jan 15, 2025 00:12:22.491431000 India Standard Time",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.3,0x02,64.0,17.0,0xb108,,,,,,,,,,46462.0,123.0,0
"Jan 15, 2025 00:12:22.499363000 India Standard Time",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.3,192.168.18.17,0x02,61.0,17.0,0x1bae,,,,,,,,,,123.0,46462.0,0
"Jan 15, 2025 00:13:20.493361000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x245b,,,,,,,,,,36420.0,53.0,0
"Jan 15, 2025 00:13:20.493390000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x245a,,,,,,,,,,36420.0,53.0,0
"Jan 15, 2025 00:13:20.500102000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x8e5d,,,,,,,,,,53.0,36420.0,0
"Jan 15, 2025 00:13:20.500122000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x8e6c,,,,,,,,,,53.0,36420.0,0
"Jan 15, 2025 00:13:20.505425000 India Standard Time",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xaca0,,,,,,,,,,39276.0,53.0,0
"Jan 15, 2025 00:13:20.510822000 India Standard Time",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x8e42,,,,,,,,,,53.0,39276.0,0
"Jan 15, 2025 00:13:22.504024000 India Standard Time",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x62db,,,,,,,,,,51654.0,53.0,0
"Jan 15, 2025 00:13:22.510525000 India Standard Time",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x8bdc,,,,,,,,,,53.0,51654.0,0
"Jan 15, 2025 00:13:22.510607000 India Standard Time",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.3,0x02,64.0,17.0,0x9ba9,,,,,,,,,,35674.0,123.0,0
